name	ensg	label	id	combined_family	class_id	family_id
NFKB2	ENSMUSG00000025225	NF-kappaB p100 (NFKB2)	6.1.1.1.2	Rel homology region (RHR) factors	6.1	6.1.1
TBR1	ENSMUSG00000035033	TBR-1	6.5.2.0.1	T-Box factors	6.5	6.5.2
ZNF219	ENSMUSG00000049295	ZNF219 [2+1+2+1]	2.3.4.2.1	C2H2 zinc finger factors>Factors with multiple dispersed zinc fingers	2.3	2.3.4
ESX1	ENSMUSG00000023443	ESX-1	3.1.3.8.1	Homeo domain factors>Paired-related HD factors	3.1	3.1.3
PRDM13	ENSMUSG00000040478	PRDM13 (PFM10) [1+3]	2.3.4.0.12	C2H2 zinc finger factors>Factors with multiple dispersed zinc fingers	2.3	2.3.4
PBX4	ENSMUSG00000031860	PBX-4	3.1.4.4.4	Homeo domain factors>TALE-type homeo domain factors	3.1	3.1.4
T	ENSMUSG00000062327	T (Brachyury)	6.5.1.0.1	T-Box factors	6.5	6.5.1
AR	ENSMUSG00000046532	Androgen receptor (AR) (NR3C4)	2.1.1.1.4	Nuclear receptors with C4 zinc fingers>Steroid hormone receptors (NR3)	2.1	2.1.1
ZNF610	ENSMUSG00000023882	ZNF610 [9]	2.3.3.0.89	C2H2 zinc finger factors>More than 3 adjacent zinc finger factors	2.3	2.3.3
ZNF213	ENSMUSG00000071256	ZNF213 (ZKSCAN21) [5]	2.3.3.6.4	C2H2 zinc finger factors>More than 3 adjacent zinc finger factors	2.3	2.3.3
TADA2B	ENSMUSG00000029196	TAD-2beta (TADA2B, ADA2-beta)	3.5.1.6.2	Tryptophan cluster factors>Myb/SANT domain factors	3.5	3.5.1
KLF9	ENSMUSG00000033863	KLF9 (BTEB1)	2.3.1.2.9	C2H2 zinc finger factors>Three-zinc finger Krüppel-related factors	2.3	2.3.1
ZNFX1	ENSMUSG00000039501	ZNFX1	0.4.1.0.3	NFX1-type putative zinc finger factors	0.4	0.4.1
ZNF788	ENSMUSG00000078435	ZNF788 [9+8]	2.3.4.0.60	C2H2 zinc finger factors>Factors with multiple dispersed zinc fingers	2.3	2.3.4
HOXD10	ENSMUSG00000050368	Hox-D10 (HOX4D, HOX4E)	3.1.1.8.7	Homeo domain factors>HOX-related factors	3.1	3.1.1
TOX	ENSMUSG00000041272	TOX [1]	4.1.2.0.1	High-mobility group (HMG) domain factors>TOX-related factors	4.1	4.1.2
GLIS2	ENSMUSG00000014303	GLIS2 (NKL) [5]	2.3.3.1.5	C2H2 zinc finger factors>More than 3 adjacent zinc finger factors	2.3	2.3.3
TSHZ3	ENSMUSG00000021217	TSHZ-3	3.1.8.2.3	Homeo domain factors>HD-ZF factors	3.1	3.1.8
HOXC4	ENSMUSG00000075394	Hox-C4 (HOX3E)	3.1.1.4.3	Homeo domain factors>HOX-related factors	3.1	3.1.1
TFAP2A	ENSMUSG00000021359	AP-2alpha	1.3.1.0.1	Basic helix-span-helix factors (bHSH)	1.3	1.3.1
GMEB1	ENSMUSG00000028901	GMEB-1	5.3.3.1.1	SAND domain factors	5.3	5.3.3
IRF4	ENSMUSG00000021356	IRF-4 (LSIRF, NF-EM5, MUM1, Pip)	3.5.3.0.4	Tryptophan cluster factors>Interferon-regulatory factors	3.5	3.5.3
SALL4	ENSMUSG00000027547	SALL4 (ZNF797) [2+3+2+2]	2.3.4.3.4	C2H2 zinc finger factors>Factors with multiple dispersed zinc fingers	2.3	2.3.4
ZNF317	ENSMUSG00000057551	ZNF317 [13]	2.3.3.0.150	C2H2 zinc finger factors>More than 3 adjacent zinc finger factors	2.3	2.3.3
MYB	ENSMUSG00000019982	c-Myb	3.5.1.1.1	Tryptophan cluster factors>Myb/SANT domain factors	3.5	3.5.1
ZFP30	ENSMUSG00000047473	ZFP30 (ZNF745) [13]	2.3.3.63.1	C2H2 zinc finger factors>More than 3 adjacent zinc finger factors	2.3	2.3.3
IRX1	ENSMUSG00000060969	IRX-1	3.1.4.1.1	Homeo domain factors>TALE-type homeo domain factors	3.1	3.1.4
NCOA2	ENSMUSG00000005886	NCoA-2	1.2.5.3.2	Basic helix-loop-helix factors (bHLH)>PAS domain factors	1.2	1.2.5
FOXR2	ENSMUSG00000071665	FOXR2	3.3.1.18.2	Fork head / winged helix factors>Forkhead box (FOX) factors	3.3	3.3.1
HOXA7	ENSMUSG00000038236	Hox-A7 (HOX1A)	3.1.1.6.4	Homeo domain factors>HOX-related factors	3.1	3.1.1
DBP	ENSMUSG00000059824	DBP	1.1.8.2.1	Basic leucine zipper factors (bZIP)>C/EBP-related	1.1	1.1.8
NKX6-2	ENSMUSG00000041309	NKX-6.2 (NKX6-2, NKX6B)	3.1.2.19.2	Homeo domain factors>NK-related factors	3.1	3.1.2
ZNF91	ENSMUSG00000058093	ZNF91 (HPF7, HTF10) [36]	2.3.3.0.235	C2H2 zinc finger factors>More than 3 adjacent zinc finger factors	2.3	2.3.3
ZNF566	ENSMUSG00000078768	ZNF566 [8]	2.3.3.35.3	C2H2 zinc finger factors>More than 3 adjacent zinc finger factors	2.3	2.3.3
DMBX1	ENSMUSG00000028707	DMBX (MBX, OTX-3, PAXB)	3.1.3.4.1	Homeo domain factors>Paired-related HD factors	3.1	3.1.3
HSF4	ENSMUSG00000033249	HSF4 (HSTF4)	3.4.1.0.3	Heat shock factors	3.4	3.4.1
SIM1	ENSMUSG00000019913	SIM1	1.2.5.1.3	Basic helix-loop-helix factors (bHLH)>PAS domain factors	1.2	1.2.5
HOXC9	ENSMUSG00000036139	Hox-C9 (HOX3B)	3.1.1.8.3	Homeo domain factors>HOX-related factors	3.1	3.1.1
HIVEP3	ENSMUSG00000028634	HIV-EP3 (KBP1, KRC, ZAS3) [2+1+2]	2.3.4.5.3	C2H2 zinc finger factors>Factors with multiple dispersed zinc fingers	2.3	2.3.4
FOXD3	ENSMUSG00000067261	FOXD3 (HFH-2)	3.3.1.4.3	Fork head / winged helix factors>Forkhead box (FOX) factors	3.3	3.3.1
ZNF788	ENSMUSG00000080717	ZNF788 [9+8]	2.3.4.0.60	C2H2 zinc finger factors>Factors with multiple dispersed zinc fingers	2.3	2.3.4
MGA	ENSMUSG00000033943	MGA (MAD5)	1.2.6.7.4	Basic helix-loop-helix factors (bHLH)>bHLH-ZIP factors	1.2	1.2.6
ZSCAN4	ENSMUSG00000095339	ZSCAN4 (ZNF494) [4]	2.3.3.5.5	C2H2 zinc finger factors>More than 3 adjacent zinc finger factors	2.3	2.3.3
ZBTB32	ENSMUSG00000006310	ZBTB32 (ZNF538, FAZF) [3]	2.3.2.1.7	C2H2 zinc finger factors>Other factors with up to three adjacent zinc fingers	2.3	2.3.2
ZFP37	ENSMUSG00000028389	ZFP37 [12]	2.3.3.69.3	C2H2 zinc finger factors>More than 3 adjacent zinc finger factors	2.3	2.3.3
TCF25	ENSMUSG00000001472	NULP1 (TCF25)	0.0.1.0.1	Uncharacterized	0.0	0.0.1
ZNF329	ENSMUSG00000057894	ZNF329 [12]	2.3.3.0.148	C2H2 zinc finger factors>More than 3 adjacent zinc finger factors	2.3	2.3.3
ZNF277	ENSMUSG00000055917	ZNF277 (NRIF4, ZNF277P) [1+1]	2.3.4.0.19	C2H2 zinc finger factors>Factors with multiple dispersed zinc fingers	2.3	2.3.4
SMAD7	ENSMUSG00000025880	SMAD7	7.1.1.3.2	SMAD/NF-1 DNA-binding domain factors	7.1	7.1.1
POU6F1	ENSMUSG00000098598	POU6F1 (Brn-5)	3.1.10.6.1	Homeo domain factors>POU domain factors	3.1	3.1.10
HLX	ENSMUSG00000039377	HLX-1 (HB24)	3.1.2.9.1	Homeo domain factors>NK-related factors	3.1	3.1.2
ZNF610	ENSMUSG00000062743	ZNF610 [9]	2.3.3.0.89	C2H2 zinc finger factors>More than 3 adjacent zinc finger factors	2.3	2.3.3
ZNF788	ENSMUSG00000074521	ZNF788 [9+8]	2.3.4.0.60	C2H2 zinc finger factors>Factors with multiple dispersed zinc fingers	2.3	2.3.4
ZNF689	ENSMUSG00000048921	ZNF689 [12]	2.3.3.66.1	C2H2 zinc finger factors>More than 3 adjacent zinc finger factors	2.3	2.3.3
ZKSCAN4	ENSMUSG00000021327	ZKSCAN4 (ZNF307, ZNF427) [7]	2.3.3.26.2	C2H2 zinc finger factors>More than 3 adjacent zinc finger factors	2.3	2.3.3
SALL2	ENSMUSG00000049532	SALL2 (Spalt-2, Sal-2, ZNF795) [2+3+2]	2.3.4.3.2	C2H2 zinc finger factors>Factors with multiple dispersed zinc fingers	2.3	2.3.4
GATA1	ENSMUSG00000031162	GATA-1 (GF-1, EryF1, NF-E1)	2.2.1.1.1	Other C4 zinc finger-type factors	2.2	2.2.1
SREBF1	ENSMUSG00000020538	SREBP-1	1.2.6.3.1	Basic helix-loop-helix factors (bHLH)>bHLH-ZIP factors	1.2	1.2.6
ZNF788	ENSMUSG00000074166	ZNF788 [9+8]	2.3.4.0.60	C2H2 zinc finger factors>Factors with multiple dispersed zinc fingers	2.3	2.3.4
ZNF788	ENSMUSG00000078868	ZNF788 [9+8]	2.3.4.0.60	C2H2 zinc finger factors>Factors with multiple dispersed zinc fingers	2.3	2.3.4
ATF6B	ENSMUSG00000015461	ATF-6beta	1.1.7.3.2	Basic leucine zipper factors (bZIP)>CREB-related factors	1.1	1.1.7
CREM	ENSMUSG00000063889	CREM	1.1.7.1.3	Basic leucine zipper factors (bZIP)>CREB-related factors	1.1	1.1.7
ZNF788	ENSMUSG00000078862	ZNF788 [9+8]	2.3.4.0.60	C2H2 zinc finger factors>Factors with multiple dispersed zinc fingers	2.3	2.3.4
ZNF788	ENSMUSG00000078861	ZNF788 [9+8]	2.3.4.0.60	C2H2 zinc finger factors>Factors with multiple dispersed zinc fingers	2.3	2.3.4
NFYC	ENSMUSG00000032897	NF-YC	4.2.1.0.3	Heteromeric CCAAT-binding factors	4.2	4.2.1
ZNF788	ENSMUSG00000073197	ZNF788 [9+8]	2.3.4.0.60	C2H2 zinc finger factors>Factors with multiple dispersed zinc fingers	2.3	2.3.4
DNMT3L	ENSMUSG00000000730	DNMT3L	2.2.1.2.11	Other C4 zinc finger-type factors	2.2	2.2.1
ZNF670	ENSMUSG00000058246	ZNF670 [9]	2.3.3.33.5	C2H2 zinc finger factors>More than 3 adjacent zinc finger factors	2.3	2.3.3
ATF1	ENSMUSG00000023027	ATF-1	1.1.7.1.2	Basic leucine zipper factors (bZIP)>CREB-related factors	1.1	1.1.7
ASCL4	ENSMUSG00000085111	ASH-4	1.2.2.2.4	Basic helix-loop-helix factors (bHLH)>MyoD / ASC-related factors	1.2	1.2.2
SP1	ENSMUSG00000001280	Sp1	2.3.1.1.1	C2H2 zinc finger factors>Three-zinc finger Krüppel-related factors	2.3	2.3.1
ZNF513	ENSMUSG00000043059	ZNF513 [3+5]	2.3.4.0.36	C2H2 zinc finger factors>Factors with multiple dispersed zinc fingers	2.3	2.3.4
ZFPM1	ENSMUSG00000049577	FOG1 (ZFPM1, ZFN89A) [5]	2.3.4.0.6	C2H2 zinc finger factors>Factors with multiple dispersed zinc fingers	2.3	2.3.4
BCL3	ENSMUSG00000053175	BCL-3	6.1.2.1.8	Rel homology region (RHR) factors	6.1	6.1.2
PATZ1	ENSMUSG00000020453	PATZ1 (RIAZ, ZBTB19, ZNF278, ZSG) [1+5+1]	2.3.4.8.3	C2H2 zinc finger factors>Factors with multiple dispersed zinc fingers	2.3	2.3.4
ZFPM2	ENSMUSG00000022306	FOG2 (ZFPM2, ZFN89B) [5]	2.3.2.4.6	C2H2 zinc finger factors>Other factors with up to three adjacent zinc fingers	2.3	2.3.2
ZBTB24	ENSMUSG00000019826	ZBTB24 (ZNF450) [8]	2.3.3.0.55	C2H2 zinc finger factors>More than 3 adjacent zinc finger factors	2.3	2.3.3
MEOX2	ENSMUSG00000036144	MEOX-2 (MOX-2)	3.1.1.14.2	Homeo domain factors>HOX-related factors	3.1	3.1.1
ZBTB49	ENSMUSG00000029127	ZBTB49 [7]	2.3.3.0.38	C2H2 zinc finger factors>More than 3 adjacent zinc finger factors	2.3	2.3.3
ZNF711	ENSMUSG00000025529	ZNF711 (CMPX1, ZNF6) [1+10]	2.3.4.13.2	C2H2 zinc finger factors>Factors with multiple dispersed zinc fingers	2.3	2.3.4
EGR2	ENSMUSG00000037868	EGR2 (Krox-20)	2.3.1.3.2	C2H2 zinc finger factors>Three-zinc finger Krüppel-related factors	2.3	2.3.1
HOXA3	ENSMUSG00000079560	Hox-A3 (HOX1E)	3.1.1.3.1	Homeo domain factors>HOX-related factors	3.1	3.1.1
TBX18	ENSMUSG00000032419	TBX18	6.5.3.0.4	T-Box factors	6.5	6.5.3
ZNF788	ENSMUSG00000078901	ZNF788 [9+8]	2.3.4.0.60	C2H2 zinc finger factors>Factors with multiple dispersed zinc fingers	2.3	2.3.4
ZNF597	ENSMUSG00000039789	ZNF597 [4+3]	2.3.4.0.30	C2H2 zinc finger factors>Factors with multiple dispersed zinc fingers	2.3	2.3.4
THRB	ENSMUSG00000021779	T3R-beta (NR1A2)	2.1.2.2.2	Nuclear receptors with C4 zinc fingers>Thyroid hormone receptor-related factors (NR1)	2.1	2.1.2
ZNF416	ENSMUSG00000034538	ZNF416 [12]	2.3.3.0.127	C2H2 zinc finger factors>More than 3 adjacent zinc finger factors	2.3	2.3.3
PBX3	ENSMUSG00000038718	PBX-3	3.1.4.4.3	Homeo domain factors>TALE-type homeo domain factors	3.1	3.1.4
ZNF384	ENSMUSG00000038346	ZNF384 (CAGH1, CIZ, NMP4, TNRC1) [8]	2.3.3.37.2	C2H2 zinc finger factors>More than 3 adjacent zinc finger factors	2.3	2.3.3
ZNF788	ENSMUSG00000060427	ZNF788 [9+8]	2.3.4.0.60	C2H2 zinc finger factors>Factors with multiple dispersed zinc fingers	2.3	2.3.4
MLXIP	ENSMUSG00000038342	MondoA (Mlx-IP)	1.2.6.6.2	Basic helix-loop-helix factors (bHLH)>bHLH-ZIP factors	1.2	1.2.6
ARID4B	ENSMUSG00000039219	ARID4B (BRCAA1, RBBP1L1, RBP1L1, SAP180)	3.7.1.4.2	ARID domain factors	3.7	3.7.1
USF2	ENSMUSG00000058239	USF-2	1.2.6.2.2	Basic helix-loop-helix factors (bHLH)>bHLH-ZIP factors	1.2	1.2.6
LHX8	ENSMUSG00000096225	Lhx8	3.1.5.5.2	Homeo domain factors>HD-LIM factors	3.1	3.1.5
ZIC4	ENSMUSG00000036972	ZIC4 [5]	2.3.3.1.10	C2H2 zinc finger factors>More than 3 adjacent zinc finger factors	2.3	2.3.3
NR1I2	ENSMUSG00000022809	PXR (NR1I2)	2.1.2.4.2	Nuclear receptors with C4 zinc fingers>Thyroid hormone receptor-related factors (NR1)	2.1	2.1.2
ZNF99	ENSMUSG00000048280	ZNF99 [30]	2.3.3.80.1	C2H2 zinc finger factors>More than 3 adjacent zinc finger factors	2.3	2.3.3
ZNF710	ENSMUSG00000048897	ZNF710 [11]	2.3.3.51.2	C2H2 zinc finger factors>More than 3 adjacent zinc finger factors	2.3	2.3.3
KLF1	ENSMUSG00000054191	KLF1 (EKLF)	2.3.1.2.1	C2H2 zinc finger factors>Three-zinc finger Krüppel-related factors	2.3	2.3.1
TCF12	ENSMUSG00000032228	HTF-4 (TCF-12, HEB)	1.2.1.0.3	Basic helix-loop-helix factors (bHLH)>E2A-related factors	1.2	1.2.1
CUX1	ENSMUSG00000029705	Cux-1 (CDP, Cut-L1)	3.1.9.2.1	Homeo domain factors>HD-CUT factors	3.1	3.1.9
PAX4	ENSMUSG00000029706	Pax-4	3.2.1.2.1	Paired box factors	3.2	3.2.1
ZNF362	ENSMUSG00000028799	ZNF362 [6]	2.3.3.37.1	C2H2 zinc finger factors>More than 3 adjacent zinc finger factors	2.3	2.3.3
MYCL	ENSMUSG00000028654	L-Myc-1	1.2.6.5.3	Basic helix-loop-helix factors (bHLH)>bHLH-ZIP factors	1.2	1.2.6
CDX1	ENSMUSG00000024619	CDX-1	3.1.1.9.1	Homeo domain factors>HOX-related factors	3.1	3.1.1
DMTF1	ENSMUSG00000058670	DMTF1	3.5.1.7.1	Tryptophan cluster factors>Myb/SANT domain factors	3.5	3.5.1
HOXC11	ENSMUSG00000001656	Hox-C11 (HOX3H)	3.1.1.8.9	Homeo domain factors>HOX-related factors	3.1	3.1.1
HOXC8	ENSMUSG00000001657	Hox-C8 (HOX3A)	3.1.1.7.2	Homeo domain factors>HOX-related factors	3.1	3.1.1
ZNF669	ENSMUSG00000054519	ZNF669 [9]	2.3.3.33.4	C2H2 zinc finger factors>More than 3 adjacent zinc finger factors	2.3	2.3.3
MTF1	ENSMUSG00000028890	MTF1 [6]	2.3.3.24.1	C2H2 zinc finger factors>More than 3 adjacent zinc finger factors	2.3	2.3.3
ZFP3	ENSMUSG00000043602	ZFP3 (ZNF752) [13]	2.3.3.0.162	C2H2 zinc finger factors>More than 3 adjacent zinc finger factors	2.3	2.3.3
ZNF740	ENSMUSG00000046897	ZNF740 (ZFP740) [3]	2.3.2.4.5	C2H2 zinc finger factors>Other factors with up to three adjacent zinc fingers	2.3	2.3.2
SP110	ENSMUSG00000079808	Sp110	5.3.4.0.1	SAND domain factors	5.3	5.3.4
ZNF607	ENSMUSG00000096916	ZNF607 [20]	2.3.3.67.9	C2H2 zinc finger factors>More than 3 adjacent zinc finger factors	2.3	2.3.3
ZNF76	ENSMUSG00000024220	ZNF76 (ZNF523) [7]	2.3.3.28.1	C2H2 zinc finger factors>More than 3 adjacent zinc finger factors	2.3	2.3.3
ZNF672	ENSMUSG00000049755	ZNF672 [14]	2.3.3.66.2	C2H2 zinc finger factors>More than 3 adjacent zinc finger factors	2.3	2.3.3
ISX	ENSMUSG00000031621	ISX	3.1.3.12.1	Homeo domain factors>Paired-related HD factors	3.1	3.1.3
ZNF788	ENSMUSG00000078903	ZNF788 [9+8]	2.3.4.0.60	C2H2 zinc finger factors>Factors with multiple dispersed zinc fingers	2.3	2.3.4
EHF	ENSMUSG00000012350	EHF (ESE-3)	3.5.2.4.1	Tryptophan cluster factors>Ets-related factors	3.5	3.5.2
ZNF408	ENSMUSG00000075040	ZNF408 (PFM14, PRDM17) [10]	2.3.3.0.93	C2H2 zinc finger factors>More than 3 adjacent zinc finger factors	2.3	2.3.3
SOX2	ENSMUSG00000074637	SOX-2	4.1.1.2.2	High-mobility group (HMG) domain factors>SOX-related factors	4.1	4.1.1
ZNF780B	ENSMUSG00000063047	ZNF780B (ZNF779) [23]	2.3.3.67.12	C2H2 zinc finger factors>More than 3 adjacent zinc finger factors	2.3	2.3.3
ZNF280C	ENSMUSG00000036916	ZNF280C (SUHW3, ZNF633) [5]	2.3.3.4.3	C2H2 zinc finger factors>More than 3 adjacent zinc finger factors	2.3	2.3.3
HOXA9	ENSMUSG00000038227	Hox-A9 (HOX1G)	3.1.1.8.1	Homeo domain factors>HOX-related factors	3.1	3.1.1
ZSCAN21	ENSMUSG00000037017	ZSCAN21 (ZFP38, ZNF38) [7]	2.3.3.0.47	C2H2 zinc finger factors>More than 3 adjacent zinc finger factors	2.3	2.3.3
SP140	ENSMUSG00000070031	Sp140	5.3.5.1.1	SAND domain factors	5.3	5.3.5
ESRRG	ENSMUSG00000026610	ERR3 (ERRgamma, ESRRG) (NR3B3)	2.1.1.2.5	Nuclear receptors with C4 zinc fingers>Steroid hormone receptors (NR3)	2.1	2.1.1
SP110	ENSMUSG00000070034	Sp110	5.3.4.0.1	SAND domain factors	5.3	5.3.4
PRDM10	ENSMUSG00000042496	PRDM10 (PFM7, TRIS) [1+9]	2.3.4.0.34	C2H2 zinc finger factors>Factors with multiple dispersed zinc fingers	2.3	2.3.4
SPI1	ENSMUSG00000002111	PU.1 (Spi-1)	3.5.2.5.1	Tryptophan cluster factors>Ets-related factors	3.5	3.5.2
ZNF788	ENSMUSG00000059897	ZNF788 [9+8]	2.3.4.0.60	C2H2 zinc finger factors>Factors with multiple dispersed zinc fingers	2.3	2.3.4
ZNF235	ENSMUSG00000055305	ZNF235 (ZFP93, ZNF270) [16]	2.3.3.47.9	C2H2 zinc finger factors>More than 3 adjacent zinc finger factors	2.3	2.3.3
HOXD11	ENSMUSG00000042499	Hox-D11 (HOX4F)	3.1.1.8.10	Homeo domain factors>HOX-related factors	3.1	3.1.1
HNF1A	ENSMUSG00000029556	HNF-1alpha (HNF-1A, LF-B1)	3.1.10.7.1	Homeo domain factors>POU domain factors	3.1	3.1.10
HEYL	ENSMUSG00000032744	HEYL	1.2.4.1.10	Basic helix-loop-helix factors (bHLH)>Hairy-related factors	1.2	1.2.4
TFEC	ENSMUSG00000029553	TFEC	1.2.6.1.3	Basic helix-loop-helix factors (bHLH)>bHLH-ZIP factors	1.2	1.2.6
NFYA	ENSMUSG00000023994	NF-YA (CP1A, CBF-B)	4.2.1.0.1	Heteromeric CCAAT-binding factors	4.2	4.2.1
CNOT4	ENSMUSG00000038784	CNOT4 (NOT4) [1]	2.8.4.0.1	C3H zinc finger factors	2.8	2.8.4
LBX2	ENSMUSG00000034968	LBX-2	3.1.2.10.2	Homeo domain factors>NK-related factors	3.1	3.1.2
TCF21	ENSMUSG00000045680	Pod-1 (TCF-21)	1.2.3.3.5	Basic helix-loop-helix factors (bHLH)>Tal-related factors	1.2	1.2.3
BATF3	ENSMUSG00000026630	B-ATF-3	1.1.4.0.3	Basic leucine zipper factors (bZIP)>B-ATF-related factors	1.1	1.1.4
TSHZ1	ENSMUSG00000046982	TSHZ-1	3.1.8.2.1	Homeo domain factors>HD-ZF factors	3.1	3.1.8
ZNF787	ENSMUSG00000046792	ZNF787 (TTF-I-IP20) [5+2]	2.3.4.0.46	C2H2 zinc finger factors>Factors with multiple dispersed zinc fingers	2.3	2.3.4
SHOX2	ENSMUSG00000027833	SHOX-2 (OG-12X, SHOT)	3.1.3.25.2	Homeo domain factors>Paired-related HD factors	3.1	3.1.3
TGIF1	ENSMUSG00000047407	TGIF-1	3.1.4.6.1	Homeo domain factors>TALE-type homeo domain factors	3.1	3.1.4
PROX1	ENSMUSG00000010175	PROX-1	3.1.7.0.1	Homeo domain factors>HD-PROS factors	3.1	3.1.7
STAT5B	ENSMUSG00000020919	STAT5B	6.2.1.0.6	STAT domain factors	6.2	6.2.1
FOXD2	ENSMUSG00000055210	FOXD2 (Fkh-L17, FREAC9)	3.3.1.4.2	Fork head / winged helix factors>Forkhead box (FOX) factors	3.3	3.3.1
ZGPAT	ENSMUSG00000027582	ZGPAT (GPATC6, GPATCH6, ZC3H9, ZC3HDC9, ZIP) [1]	2.8.2.0.1	C3H zinc finger factors	2.8	2.8.2
ZBTB46	ENSMUSG00000027583	ZBTB46 (BTBD4, ZNF340) [2]	2.3.2.1.11	C2H2 zinc finger factors>Other factors with up to three adjacent zinc fingers	2.3	2.3.2
FOXP1	ENSMUSG00000030067	FOXP1	3.3.1.16.1	Fork head / winged helix factors>Forkhead box (FOX) factors	3.3	3.3.1
CREB3L1	ENSMUSG00000027230	CREB-3L1 (OASIS)	1.1.7.2.2	Basic leucine zipper factors (bZIP)>CREB-related factors	1.1	1.1.7
