name	ensg	label	id	class_id	combined_family	family_id	loc	tss_loc	strand
ZNF35	ENSG00000169981	ZNF35 [11]	2.3.3.0.100	2.3	C2H2 zinc finger factors>More than 3 adjacent zinc finger factors	2.3.3	chr3:44690219-44702283	chr3:44690219-44690219	1
ZNF311	ENSG00000197935	ZNF311 (ZFP31) [14]	2.3.3.0.166	2.3	C2H2 zinc finger factors>More than 3 adjacent zinc finger factors	2.3.3	chr6:28962562-28973093	chr6:28973093-28973093	-1
KLF8	ENSG00000102349	KLF8 (BKLF)	2.3.1.2.8	2.3	C2H2 zinc finger factors>Three-zinc finger Krüppel-related factors	2.3.1	chrX:56258854-56314322	chrX:56258854-56258854	1
SIX5	ENSG00000177045	SIX5	3.1.6.3.2	3.1	Homeo domain factors>HD-SINE factors	3.1.6	chr19:46268043-46272484	chr19:46272484-46272484	-1
HOXB8	ENSG00000120068	Hox-B8 (HOX2D)	3.1.1.7.1	3.1	Homeo domain factors>HOX-related factors	3.1.1	chr17:46688739-46692478	chr17:46692478-46692478	-1
FOSB	ENSG00000125740	FosB	1.1.2.1.2	1.1	Basic leucine zipper factors (bZIP)>Fos-related factors	1.1.2	chr19:45971253-45978437	chr19:45971253-45971253	1
NFKBID	ENSG00000167604	IkappaBdelta	6.1.2.1.3	6.1	Rel homology region (RHR) factors	6.1.2	chr19:36378555-36393205	chr19:36393205-36393205	-1
TFDP2	ENSG00000114126	Dp-2 (Dp-3)	3.3.2.2.2	3.3	Fork head / winged helix factors>E2F-related factors	3.3.2	chr3:141663277-141868386	chr3:141868386-141868386	-1
ZNF584	ENSG00000171574	ZNF584 [8]	2.3.3.0.67	2.3	C2H2 zinc finger factors>More than 3 adjacent zinc finger factors	2.3.3	chr19:58912871-58929694	chr19:58912871-58912871	1
FOXD4L4	ENSG00000184659	FOXD4L4 (FOXD4B)	3.3.1.4.8	3.3	Fork head / winged helix factors>Forkhead box (FOX) factors	3.3.1	chr9:70426623-70429731	chr9:70429731-70429731	-1
ZXDB	ENSG00000198455	ZXDB [10]	2.3.3.46.2	2.3	C2H2 zinc finger factors>More than 3 adjacent zinc finger factors	2.3.3	chrX:57618269-57623906	chrX:57618269-57618269	1
ZNF568	ENSG00000198453	ZNF568 [15]	2.3.3.62.3	2.3	C2H2 zinc finger factors>More than 3 adjacent zinc finger factors	2.3.3	chr19:37407231-37489602	chr19:37407231-37407231	1
ST18	ENSG00000147488	ST18 (ZNF387, NZF-3) [6]	2.7.1.0.3	2.7	C2HC zinc finger factors	2.7.1	chr8:53023399-53373519	chr8:53373519-53373519	-1
BNC2	ENSG00000173068	BNC2 [1+1+2]	2.3.4.19.2	2.3	C2H2 zinc finger factors>Factors with multiple dispersed zinc fingers	2.3.4	chr9:16409501-16870841	chr9:16870841-16870841	-1
ATRX	ENSG00000085224	ATRX (RAD54L, XH2)	2.2.1.2.12	2.2	Other C4 zinc finger-type factors	2.2.1	chrX:76760356-77041702	chrX:77041702-77041702	-1
DLX3	ENSG00000064195	DLX-3	3.1.2.5.3	3.1	Homeo domain factors>NK-related factors	3.1.2	chr17:48067369-48072588	chr17:48072588-48072588	-1
BATF	ENSG00000156127	B-ATF	1.1.4.0.1	1.1	Basic leucine zipper factors (bZIP)>B-ATF-related factors	1.1.4	chr14:75988768-76013358	chr14:75988768-75988768	1
ZNF716	ENSG00000182111	ZNF716 (BMZF4) [12]	2.3.3.0.141	2.3	C2H2 zinc finger factors>More than 3 adjacent zinc finger factors	2.3.3	chr7:57509883-57533252	chr7:57509883-57509883	1
NR5A1	ENSG00000136931	FTZ-F1 (SF-1) (NR5A1)	2.1.5.0.1	2.1	Nuclear receptors with C4 zinc fingers>FTZ-F1-related receptors (NR5)	2.1.5	chr9:127243516-127269709	chr9:127269709-127269709	-1
ZNF33B	ENSG00000196693	ZNF33B (KOX2, ZNF11B) [16]	2.3.3.69.7	2.3	C2H2 zinc finger factors>More than 3 adjacent zinc finger factors	2.3.3	chr10:43084555-43133992	chr10:43133992-43133992	-1
ZNF682	ENSG00000197124	ZNF682 [11]	2.3.3.0.109	2.3	C2H2 zinc finger factors>More than 3 adjacent zinc finger factors	2.3.3	chr19:20107867-20150315	chr19:20150315-20150315	-1
ZNF679	ENSG00000197123	ZNF679 [9]	2.3.3.32.1	2.3	C2H2 zinc finger factors>More than 3 adjacent zinc finger factors	2.3.3	chr7:63688852-63727309	chr7:63688852-63688852	1
ZNF772	ENSG00000197128	ZNF772 [2+8]	2.3.4.24.3	2.3	C2H2 zinc finger factors>Factors with multiple dispersed zinc fingers	2.3.4	chr19:57978031-57988938	chr19:57988938-57988938	-1
ZNF707	ENSG00000181135	ZNF707 [7]	2.3.3.0.51	2.3	C2H2 zinc finger factors>More than 3 adjacent zinc finger factors	2.3.3	chr8:144766622-144796068	chr8:144766622-144766622	1
ZNF135	ENSG00000176293	ZNF135 (ZNF61, ZNF78L1) [16]	2.3.3.0.202	2.3	C2H2 zinc finger factors>More than 3 adjacent zinc finger factors	2.3.3	chr19:58570607-58597677	chr19:58570607-58570607	1
TP63	ENSG00000073282	p63	6.3.1.0.2	6.3	p53 domain factors	6.3.1	chr3:189349205-189615068	chr3:189349205-189349205	1
SPDEF	ENSG00000124664	SPDEF (PSE)	3.5.2.7.1	3.5	Tryptophan cluster factors>Ets-related factors	3.5.2	chr6:34505579-34524110	chr6:34524110-34524110	-1
RERE	ENSG00000142599	RERE (ARG, ARP, ATN1L)	2.2.1.2.4	2.2	Other C4 zinc finger-type factors	2.2.1	chr1:8412457-8877702	chr1:8877702-8877702	-1
RERE	ENSG00000142599	RERE (ARG, ARP, ATN1L)	3.5.1.3.7	3.5	Tryptophan cluster factors>Myb/SANT domain factors	3.5.1	chr1:8412457-8877702	chr1:8877702-8877702	-1
ZNF324	ENSG00000083812	ZNF324A [9]	2.3.3.36.1	2.3	C2H2 zinc finger factors>More than 3 adjacent zinc finger factors	2.3.3	chr19:58978423-58984945	chr19:58978423-58978423	1
ZNF671	ENSG00000083814	ZNF671 [1+9]	2.3.4.24.2	2.3	C2H2 zinc finger factors>Factors with multiple dispersed zinc fingers	2.3.4	chr19:58231119-58238992	chr19:58238992-58238992	-1
ZNF416	ENSG00000083817	ZNF416 [12]	2.3.3.0.127	2.3	C2H2 zinc finger factors>More than 3 adjacent zinc finger factors	2.3.3	chr19:58082934-58090295	chr19:58090295-58090295	-1
HINFP	ENSG00000172273	HINFP (MIZF, ZNF743) [1+8]	2.3.4.21.1	2.3	C2H2 zinc finger factors>Factors with multiple dispersed zinc fingers	2.3.4	chr11:118992297-119006752	chr11:118992297-118992297	1
ZNF777	ENSG00000196453	ZNF777 [6]	2.3.3.23.2	2.3	C2H2 zinc finger factors>More than 3 adjacent zinc finger factors	2.3.3	chr7:149128454-149158214	chr7:149158214-149158214	-1
ZNF605	ENSG00000196458	ZNF605 [17]	2.3.3.71.2	2.3	C2H2 zinc finger factors>More than 3 adjacent zinc finger factors	2.3.3	chr12:133498019-133532892	chr12:133532892-133532892	-1
PPP1R13L	ENSG00000104881	RAI (iASPP)	6.1.2.2.1	6.1	Rel homology region (RHR) factors	6.1.2	chr19:45882892-45909607	chr19:45909607-45909607	-1
ZNF267	ENSG00000185947	ZNF267 [15]	2.3.3.0.186	2.3	C2H2 zinc finger factors>More than 3 adjacent zinc finger factors	2.3.3	chr16:31885079-31928668	chr16:31885079-31885079	1
ZNF436	ENSG00000125945	ZNF436 [12]	2.3.3.58.3	2.3	C2H2 zinc finger factors>More than 3 adjacent zinc finger factors	2.3.3	chr1:23685941-23695935	chr1:23695935-23695935	-1
PAX4	ENSG00000106331	Pax-4	3.2.1.2.1	3.2	Paired box factors	3.2.1	chr7:127250346-127255982	chr7:127255982-127255982	-1
SCRT1	ENSG00000170616	SCRT1 [5]	2.3.3.2.4	2.3	C2H2 zinc finger factors>More than 3 adjacent zinc finger factors	2.3.3	chr8:145554228-145559943	chr8:145559943-145559943	-1
ZNF250	ENSG00000196150	ZNF250 (ZNF647) [13]	2.3.3.0.160	2.3	C2H2 zinc finger factors>More than 3 adjacent zinc finger factors	2.3.3	chr8:146076632-146127553	chr8:146127553-146127553	-1
MYBL1	ENSG00000185697	A-Myb (Myb-L1)	3.5.1.1.2	3.5	Tryptophan cluster factors>Myb/SANT domain factors	3.5.1	chr8:67474410-67526482	chr8:67526482-67526482	-1
ZNF25	ENSG00000175395	ZNF25 (KOX19) [12]	2.3.3.69.1	2.3	C2H2 zinc finger factors>More than 3 adjacent zinc finger factors	2.3.3	chr10:38238500-38265561	chr10:38265561-38265561	-1
ZBTB14	ENSG00000198081	ZFP161 (ZBTB14, ZNF478)	2.3.3.0.1	2.3	C2H2 zinc finger factors>More than 3 adjacent zinc finger factors	2.3.3	chr18:5289018-5297052	chr18:5297052-5297052	-1
ZNF26	ENSG00000198393	ZNF26 (KOX20) [13]	2.3.3.70.1	2.3	C2H2 zinc finger factors>More than 3 adjacent zinc finger factors	2.3.3	chr12:133562951-133589154	chr12:133562951-133562951	1
LMX1A	ENSG00000162761	Lmx-1alpha (LMX-1.1, LMX1A)	3.1.5.6.1	3.1	Homeo domain factors>HD-LIM factors	3.1.5	chr1:165171104-165325952	chr1:165325952-165325952	-1
DMRT2	ENSG00000173253	DMRT2	2.5.1.0.2	2.5	DM-type intertwined zinc finger factors	2.5.1	chr9:1050354-1057552	chr9:1050354-1050354	1
ZNF483	ENSG00000173258	ZNF483 (ZKSCAN16) [11]	2.3.3.0.101	2.3	C2H2 zinc finger factors>More than 3 adjacent zinc finger factors	2.3.3	chr9:114287439-114340124	chr9:114287439-114287439	1
E2F7	ENSG00000165891	E2F-7	3.3.2.1.7	3.3	Fork head / winged helix factors>E2F-related factors	3.3.2	chr12:77415027-77459360	chr12:77459360-77459360	-1
SOX30	ENSG00000039600	SOX-30	4.1.1.8.1	4.1	High-mobility group (HMG) domain factors>SOX-related factors	4.1.1	chr5:157052687-157098488	chr5:157098488-157098488	-1
PBX1	ENSG00000185630	PBX-1	3.1.4.4.1	3.1	Homeo domain factors>TALE-type homeo domain factors	3.1.4	chr1:164524821-164868533	chr1:164524821-164524821	1
ZNF80	ENSG00000174255	ZNF80 [7]	2.3.3.0.45	2.3	C2H2 zinc finger factors>More than 3 adjacent zinc finger factors	2.3.3	chr3:113953483-113956425	chr3:113956425-113956425	-1
DUX4L6	ENSG00000258697	DUX4L6	3.1.3.7.11	3.1	Homeo domain factors>Paired-related HD factors	3.1.3	chr4:190995380-190997190	chr4:190995380-190995380	1
ZNF239	ENSG00000196793	ZNF239 (HOK-2, MOK-2) [9]	2.3.3.0.83	2.3	C2H2 zinc finger factors>More than 3 adjacent zinc finger factors	2.3.3	chr10:44051792-44070066	chr10:44070066-44070066	-1
HMG20B	ENSG00000064961	HMG20B (HMGX2) [1]	4.1.2.0.7	4.1	High-mobility group (HMG) domain factors>TOX-related factors	4.1.2	chr19:3572775-3579086	chr19:3572775-3572775	1
RCOR1	ENSG00000089902	RCoR1	3.5.1.2.3	3.5	Tryptophan cluster factors>Myb/SANT domain factors	3.5.1	chr14:103058998-103196913	chr14:103058998-103058998	1
BARX1	ENSG00000131668	BARX-1	3.1.2.2.1	3.1	Homeo domain factors>NK-related factors	3.1.2	chr9:96713905-96717654	chr9:96717654-96717654	-1
ZNF556	ENSG00000172000	ZNF556 [9]	2.3.3.0.80	2.3	C2H2 zinc finger factors>More than 3 adjacent zinc finger factors	2.3.3	chr19:2867333-2878515	chr19:2867333-2867333	1
ZNF554	ENSG00000172006	ZNF554 [8]	2.3.3.0.63	2.3	C2H2 zinc finger factors>More than 3 adjacent zinc finger factors	2.3.3	chr19:2819872-2835771	chr19:2819872-2819872	1
ZSCAN1	ENSG00000152467	ZSCAN1 [3]	2.3.2.3.1	2.3	C2H2 zinc finger factors>Other factors with up to three adjacent zinc fingers	2.3.2	chr19:58545400-58565999	chr19:58545400-58545400	1
TPRX1	ENSG00000178928	TPRX-1 (PHOG)	3.1.3.26.1	3.1	Homeo domain factors>Paired-related HD factors	3.1.3	chr19:48304500-48322308	chr19:48322308-48322308	-1
ZKSCAN7	ENSG00000196345	ZNF167 (ZKSCAN7, ZNF448, ZNF64) [13]	2.3.3.0.159	2.3	C2H2 zinc finger factors>More than 3 adjacent zinc finger factors	2.3.3	chr3:44596685-44635665	chr3:44596685-44596685	1
MSX2	ENSG00000120149	MSX-2 (HOX8)	3.1.2.11.2	3.1	Homeo domain factors>NK-related factors	3.1.2	chr5:174151536-174157896	chr5:174151536-174151536	1
ZNF487	ENSG00000243660	ZNF487 [3]	2.3.2.2.1	2.3	C2H2 zinc finger factors>Other factors with up to three adjacent zinc fingers	2.3.2	chr10:43932282-43991517	chr10:43932282-43932282	1
NEUROD1	ENSG00000162992	NeuroD1	1.2.3.4.1	1.2	Basic helix-loop-helix factors (bHLH)>Tal-related factors	1.2.3	chr2:182537815-182545603	chr2:182545603-182545603	-1
TFEB	ENSG00000112561	TFEB	1.2.6.1.2	1.2	Basic helix-loop-helix factors (bHLH)>bHLH-ZIP factors	1.2.6	chr6:41651716-41703997	chr6:41703997-41703997	-1
ZNF300	ENSG00000145908	ZNF300 [12]	2.3.3.71.1	2.3	C2H2 zinc finger factors>More than 3 adjacent zinc finger factors	2.3.3	chr5:150273954-150284545	chr5:150284545-150284545	-1
ZNF548	ENSG00000188785	ZNF548 [11]	2.3.3.53.1	2.3	C2H2 zinc finger factors>More than 3 adjacent zinc finger factors	2.3.3	chr19:57901218-57912786	chr19:57901218-57901218	1
ATF4	ENSG00000128272	ATF-4	1.1.6.0.1	1.1	Basic leucine zipper factors (bZIP)>ATF-4-related factors	1.1.6	chr22:39915700-39918691	chr22:39915700-39915700	1
MEIS1	ENSG00000143995	Meis1	3.1.4.2.1	3.1	Homeo domain factors>TALE-type homeo domain factors	3.1.4	chr2:66660584-66801001	chr2:66660584-66660584	1
HSF4	ENSG00000102878	HSF4 (HSTF4)	3.4.1.0.3	3.4	Heat shock factors	3.4.1	chr16:67197288-67203848	chr16:67197288-67197288	1
E2F5	ENSG00000133740	E2F-5	3.3.2.1.5	3.3	Fork head / winged helix factors>E2F-related factors	3.3.2	chr8:86089460-86129387	chr8:86089460-86089460	1
ZNF788	ENSG00000214189	ZNF788 [9+8]	2.3.4.0.60	2.3	C2H2 zinc finger factors>Factors with multiple dispersed zinc fingers	2.3.4	chr19:12203078-12248050	chr19:12203078-12203078	1
CSRNP1	ENSG00000144655	CSRNP-1 (AXUD1, TAIP3)	0.1.1.0.1	0.1	AXUD/CSRNP domain factors	0.1.1	chr3:39183346-39196053	chr3:39196053-39196053	-1
PKNOX1	ENSG00000160199	PKNOX-1 (PREP-1)	3.1.4.5.1	3.1	Homeo domain factors>TALE-type homeo domain factors	3.1.4	chr21:44394620-44453691	chr21:44394620-44394620	1
ZNF394	ENSG00000160908	ZNF394 (ZKSCAN14) [7]	2.3.3.0.40	2.3	C2H2 zinc finger factors>More than 3 adjacent zinc finger factors	2.3.3	chr7:99084142-99097947	chr7:99097947-99097947	-1
PRDM8	ENSG00000152784	PRDM8 (PFM5) [1+2]	2.3.4.0.3	2.3	C2H2 zinc finger factors>Factors with multiple dispersed zinc fingers	2.3.4	chr4:81105033-81125483	chr4:81105033-81105033	1
STAT4	ENSG00000138378	STAT4	6.2.1.0.4	6.2	STAT domain factors	6.2.1	chr2:191894302-192016322	chr2:192016322-192016322	-1
MITF	ENSG00000187098	MiTF	1.2.6.1.4	1.2	Basic helix-loop-helix factors (bHLH)>bHLH-ZIP factors	1.2.6	chr3:69788586-70017488	chr3:69788586-69788586	1
ZBTB40	ENSG00000184677	ZBTB40 [12]	2.3.3.0.123	2.3	C2H2 zinc finger factors>More than 3 adjacent zinc finger factors	2.3.3	chr1:22778344-22857650	chr1:22778344-22778344	1
PRDM13	ENSG00000112238	PRDM13 (PFM10) [1+3]	2.3.4.0.12	2.3	C2H2 zinc finger factors>Factors with multiple dispersed zinc fingers	2.3.4	chr6:100054606-100063454	chr6:100054606-100054606	1
ZNF74	ENSG00000185252	ZNF74 (ZNF520) [12]	2.3.3.0.132	2.3	C2H2 zinc finger factors>More than 3 adjacent zinc finger factors	2.3.3	chr22:20748405-20762745	chr22:20748405-20748405	1
AR	ENSG00000169083	Androgen receptor (AR) (NR3C4)	2.1.1.1.4	2.1	Nuclear receptors with C4 zinc fingers>Steroid hormone receptors (NR3)	2.1.1	chrX:66764465-66950461	chrX:66764465-66764465	1
OLIG1	ENSG00000184221	OLIGO1	1.2.3.4.13	1.2	Basic helix-loop-helix factors (bHLH)>Tal-related factors	1.2.3	chr21:34442450-34444726	chr21:34442450-34442450	1
